0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	5	7	11	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	10	11	14	18	22	26	31	36	41	46	50	55	60	65	70	75	80	85	90	15	15	18	21	25	29	33	38	42	47	52	57	61	66	71	76	81	86	91	20	20	22	25	28	32	36	40	44	49	53	58	63	68	72	77	82	87	92	25	25	26	29	32	35	39	43	47	51	55	60	65	69	74	79	83	88	93	30	30	31	33	36	39	42	46	50	54	58	62	67	71	76	80	85	90	94	35	35	36	38	40	43	46	49	53	57	61	65	69	73	78	82	87	91	96	
5	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	7	5	7	11	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	11	10	11	14	18	22	26	31	36	41	46	50	55	60	65	70	75	80	85	15	15	15	18	21	25	29	33	38	42	47	52	57	61	66	71	76	81	86	20	20	20	22	25	28	32	36	40	44	49	53	58	63	68	72	77	82	87	25	25	25	26	29	32	35	39	43	47	51	55	60	65	69	74	79	83	88	30	30	30	31	33	36	39	42	46	50	54	58	62	67	71	76	80	85	90	35	35	35	36	38	40	43	46	49	53	57	61	65	69	73	78	82	87	91	
10	5	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	11	7	5	7	11	15	20	25	30	35	40	45	50	55	60	65	70	75	80	14	11	10	11	14	18	22	26	31	36	41	46	50	55	60	65	70	75	80	18	15	15	15	18	21	25	29	33	38	42	47	52	57	61	66	71	76	81	22	20	20	20	22	25	28	32	36	40	44	49	53	58	63	68	72	77	82	26	25	25	25	26	29	32	35	39	43	47	51	55	60	65	69	74	79	83	31	30	30	30	31	33	36	39	42	46	50	54	58	62	67	71	76	80	85	36	35	35	35	36	38	40	43	46	49	53	57	61	65	69	73	78	82	87	
15	10	5	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	15	11	7	5	7	11	15	20	25	30	35	40	45	50	55	60	65	70	75	18	14	11	10	11	14	18	22	26	31	36	41	46	50	55	60	65	70	75	21	18	15	15	15	18	21	25	29	33	38	42	47	52	57	61	66	71	76	25	22	20	20	20	22	25	28	32	36	40	44	49	53	58	63	68	72	77	29	26	25	25	25	26	29	32	35	39	43	47	51	55	60	65	69	74	79	33	31	30	30	30	31	33	36	39	42	46	50	54	58	62	67	71	76	80	38	36	35	35	35	36	38	40	43	46	49	53	57	61	65	69	73	78	82	
20	15	10	5	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	20	15	11	7	5	7	11	15	20	25	30	35	40	45	50	55	60	65	70	22	18	14	11	10	11	14	18	22	26	31	36	41	46	50	55	60	65	70	25	21	18	15	15	15	18	21	25	29	33	38	42	47	52	57	61	66	71	28	25	22	20	20	20	22	25	28	32	36	40	44	49	53	58	63	68	72	32	29	26	25	25	25	26	29	32	35	39	43	47	51	55	60	65	69	74	36	33	31	30	30	30	31	33	36	39	42	46	50	54	58	62	67	71	76	40	38	36	35	35	35	36	38	40	43	46	49	53	57	61	65	69	73	78	
25	20	15	10	5	0	5	10	15	20	25	30	35	40	45	50	55	60	65	25	20	15	11	7	5	7	11	15	20	25	30	35	40	45	50	55	60	65	26	22	18	14	11	10	11	14	18	22	26	31	36	41	46	50	55	60	65	29	25	21	18	15	15	15	18	21	25	29	33	38	42	47	52	57	61	66	32	28	25	22	20	20	20	22	25	28	32	36	40	44	49	53	58	63	68	35	32	29	26	25	25	25	26	29	32	35	39	43	47	51	55	60	65	69	39	36	33	31	30	30	30	31	33	36	39	42	46	50	54	58	62	67	71	43	40	38	36	35	35	35	36	38	40	43	46	49	53	57	61	65	69	73	
30	25	20	15	10	5	0	5	10	15	20	25	30	35	40	45	50	55	60	30	25	20	15	11	7	5	7	11	15	20	25	30	35	40	45	50	55	60	31	26	22	18	14	11	10	11	14	18	22	26	31	36	41	46	50	55	60	33	29	25	21	18	15	15	15	18	21	25	29	33	38	42	47	52	57	61	36	32	28	25	22	20	20	20	22	25	28	32	36	40	44	49	53	58	63	39	35	32	29	26	25	25	25	26	29	32	35	39	43	47	51	55	60	65	42	39	36	33	31	30	30	30	31	33	36	39	42	46	50	54	58	62	67	46	43	40	38	36	35	35	35	36	38	40	43	46	49	53	57	61	65	69	
35	30	25	20	15	10	5	0	5	10	15	20	25	30	35	40	45	50	55	35	30	25	20	15	11	7	5	7	11	15	20	25	30	35	40	45	50	55	36	31	26	22	18	14	11	10	11	14	18	22	26	31	36	41	46	50	55	38	33	29	25	21	18	15	15	15	18	21	25	29	33	38	42	47	52	57	40	36	32	28	25	22	20	20	20	22	25	28	32	36	40	44	49	53	58	43	39	35	32	29	26	25	25	25	26	29	32	35	39	43	47	51	55	60	46	42	39	36	33	31	30	30	30	31	33	36	39	42	46	50	54	58	62	49	46	43	40	38	36	35	35	35	36	38	40	43	46	49	53	57	61	65	
40	35	30	25	20	15	10	5	0	5	10	15	20	25	30	35	40	45	50	40	35	30	25	20	15	11	7	5	7	11	15	20	25	30	35	40	45	50	41	36	31	26	22	18	14	11	10	11	14	18	22	26	31	36	41	46	50	42	38	33	29	25	21	18	15	15	15	18	21	25	29	33	38	42	47	52	44	40	36	32	28	25	22	20	20	20	22	25	28	32	36	40	44	49	53	47	43	39	35	32	29	26	25	25	25	26	29	32	35	39	43	47	51	55	50	46	42	39	36	33	31	30	30	30	31	33	36	39	42	46	50	54	58	53	49	46	43	40	38	36	35	35	35	36	38	40	43	46	49	53	57	61	
45	40	35	30	25	20	15	10	5	0	5	10	15	20	25	30	35	40	45	45	40	35	30	25	20	15	11	7	5	7	11	15	20	25	30	35	40	45	46	41	36	31	26	22	18	14	11	10	11	14	18	22	26	31	36	41	46	47	42	38	33	29	25	21	18	15	15	15	18	21	25	29	33	38	42	47	49	44	40	36	32	28	25	22	20	20	20	22	25	28	32	36	40	44	49	51	47	43	39	35	32	29	26	25	25	25	26	29	32	35	39	43	47	51	54	50	46	42	39	36	33	31	30	30	30	31	33	36	39	42	46	50	54	57	53	49	46	43	40	38	36	35	35	35	36	38	40	43	46	49	53	57	
